profile_id,hits_identified
PRS1250761,266
PRS1250767,105
PRS1250808,47
PRS1250817,25
PRS1250865,857
PRS1250999,198
PRS1251128,55
PRS1251189,278
PRS1251314,612
PRS1251326,24
PRS1251330,173
PRS1251402,11
PRS1251533,132
PRS1251557,341
PRS1251558,26
PRS1251563,102
PRS1251620,17
PRS1251624,263
PRS1251650,34
PRS1251652,18
PRS1251723,70
PRS1251742,336
PRS1251748,31
PRS1251753,18
PRS1251759,14
PRS1251773,3
PRS1251782,169
PRS1251788,11
PRS1251794,126
PRS1251850,101
PRS1251922,74
PRS1251923,14
PRS1252045,3
PRS1252078,18
PRS1252102,2
PRS1252109,51
PRS1252125,302
PRS1252148,15
PRS1252151,14
PRS1252167,15
PRS1252215,9
PRS1252270,14
PRS1252308,19
PRS1252317,10
PRS1252450,51
PRS1252467,20
PRS1252481,79
PRS1252534,18
PRS1252559,3
PRS1252572,6
PRS1252631,19
PRS1252633,22
PRS1252647,84
PRS1252679,57
PRS1252746,2
PRS1252758,63
PRS1252767,5
PRS1252786,26
PRS1252800,83
PRS1252808,86
PRS1252823,77
PRS1252843,492
PRS1252861,27
PRS1252869,579
PRS1252888,5
PRS1252932,22
PRS1253016,30
PRS1253080,29
PRS1253099,34
PRS1253172,62
PRS1253293,88
PRS1253370,26
PRS1253453,571
PRS1253470,18
PRS1253546,910
PRS1253600,21
PRS1253627,436
PRS1253708,6
PRS1253718,11
PRS1253773,20
PRS1253798,227
PRS1253801,0
PRS1253825,10
PRS1253912,21
PRS1253938,61
PRS1253971,230
PRS1253978,31
PRS1253989,36
