id,year,count_pubs,cited_by,count_pubs_auth,cited_by_auth
https://openalex.org/A5002439942,2021,6,394,7,708
https://openalex.org/A5002439942,2022,17,506,17,1039
https://openalex.org/A5002439942,2023,7,606,7,1171
https://openalex.org/A5002460140,2012,17,499,18,740
https://openalex.org/A5002460140,2013,18,513,18,707
https://openalex.org/A5002460140,2014,17,530,17,795
https://openalex.org/A5002460140,2015,15,623,15,934
https://openalex.org/A5002460140,2016,19,533,19,766
https://openalex.org/A5002460140,2017,11,545,11,832
https://openalex.org/A5002460140,2018,13,533,13,837
https://openalex.org/A5002460140,2019,21,635,21,1004
https://openalex.org/A5002460140,2020,8,728,8,1180
https://openalex.org/A5002460140,2021,8,951,7,1581
https://openalex.org/A5002460140,2022,7,849,7,1443
https://openalex.org/A5002460140,2023,17,831,17,1442
https://openalex.org/A5002468134,2012,28,290,28,321
https://openalex.org/A5002468134,2013,19,336,19,385
https://openalex.org/A5002468134,2014,24,337,24,374
https://openalex.org/A5002468134,2015,20,303,20,340
https://openalex.org/A5002468134,2016,17,344,17,408
https://openalex.org/A5002468134,2017,20,237,20,287
https://openalex.org/A5002468134,2018,21,341,21,422
https://openalex.org/A5002468134,2019,6,371,6,453
https://openalex.org/A5002468134,2020,12,467,12,573
https://openalex.org/A5002468134,2021,5,431,5,507
https://openalex.org/A5002468134,2022,9,416,9,511
https://openalex.org/A5002468134,2023,3,388,3,463
https://openalex.org/A5002551113,2012,2,385,2,811
https://openalex.org/A5002551113,2013,4,362,4,703
https://openalex.org/A5002551113,2014,3,290,3,562
https://openalex.org/A5002551113,2015,5,293,5,533
https://openalex.org/A5002551113,2016,8,324,8,596
https://openalex.org/A5002551113,2017,2,275,2,486
https://openalex.org/A5002551113,2018,5,265,5,479
https://openalex.org/A5002551113,2019,4,223,4,420
https://openalex.org/A5002551113,2020,4,370,4,614
https://openalex.org/A5002551113,2021,4,406,4,674
https://openalex.org/A5002551113,2022,2,359,2,604
https://openalex.org/A5002551113,2023,29,342,29,553
https://openalex.org/A5002561057,2013,1,120,1,243
https://openalex.org/A5002561057,2014,3,137,3,287
https://openalex.org/A5002561057,2015,6,179,6,336
https://openalex.org/A5002561057,2016,2,170,2,311
https://openalex.org/A5002561057,2017,9,238,9,404
https://openalex.org/A5002561057,2018,1,201,1,350
https://openalex.org/A5002561057,2019,6,217,6,341
https://openalex.org/A5002561057,2020,9,205,9,303
https://openalex.org/A5002561057,2021,6,222,6,335
https://openalex.org/A5002561057,2022,10,231,10,327
https://openalex.org/A5002561057,2023,2,196,2,254
https://openalex.org/A5002575425,2013,1,11,1,11
https://openalex.org/A5002575425,2014,1,15,1,15
https://openalex.org/A5002575425,2016,1,11,1,11
https://openalex.org/A5002575425,2017,1,16,1,16
https://openalex.org/A5002575425,2019,3,20,3,20
https://openalex.org/A5002575425,2020,6,34,6,34
https://openalex.org/A5002575425,2021,6,44,6,44
https://openalex.org/A5002575425,2022,2,63,2,63
https://openalex.org/A5002575425,2023,1,65,1,65
https://openalex.org/A5002673722,2012,12,58,12,58
https://openalex.org/A5002673722,2013,10,59,10,59
https://openalex.org/A5002673722,2014,4,57,4,57
https://openalex.org/A5002673722,2015,13,70,13,70
https://openalex.org/A5002673722,2016,3,63,3,63
https://openalex.org/A5002673722,2017,2,51,2,55
https://openalex.org/A5002673722,2018,6,98,6,118
https://openalex.org/A5002673722,2019,3,70,3,114
https://openalex.org/A5002673722,2020,3,87,3,119
https://openalex.org/A5002673722,2021,3,106,3,162
https://openalex.org/A5002673722,2022,7,99,7,135
https://openalex.org/A5002673722,2023,2,97,2,134
https://openalex.org/A5002682195,2012,9,276,9,576
https://openalex.org/A5002682195,2013,4,283,4,568
https://openalex.org/A5002682195,2014,8,262,8,507
https://openalex.org/A5002682195,2015,8,274,8,544
https://openalex.org/A5002682195,2016,5,258,5,532
https://openalex.org/A5002682195,2017,9,228,9,504
https://openalex.org/A5002682195,2018,6,217,6,426
https://openalex.org/A5002682195,2019,11,196,12,428
https://openalex.org/A5002682195,2020,12,242,13,480
https://openalex.org/A5002682195,2021,2,303,2,581
https://openalex.org/A5002682195,2022,7,281,7,537
https://openalex.org/A5002682195,2023,2,232,2,448
https://openalex.org/A5002690933,2012,11,126,12,226
https://openalex.org/A5002690933,2013,5,162,5,315
https://openalex.org/A5002690933,2014,15,212,15,399
https://openalex.org/A5002690933,2015,8,213,8,391
https://openalex.org/A5002690933,2016,11,275,11,512
https://openalex.org/A5002690933,2017,10,268,10,511
https://openalex.org/A5002690933,2018,8,297,8,584
https://openalex.org/A5002690933,2019,6,312,6,627
https://openalex.org/A5002690933,2020,19,414,19,859
https://openalex.org/A5002690933,2021,13,575,13,1148
https://openalex.org/A5002690933,2022,11,564,11,1140
https://openalex.org/A5002690933,2023,7,552,7,1099
https://openalex.org/A5002710029,2012,2,14,2,17
https://openalex.org/A5002710029,2013,5,11,6,14
https://openalex.org/A5002710029,2014,2,134,2,173
https://openalex.org/A5002710029,2015,9,26,9,38
https://openalex.org/A5002710029,2016,1,21,2,33
https://openalex.org/A5002710029,2017,5,40,5,62
https://openalex.org/A5002710029,2019,4,31,4,43
https://openalex.org/A5002710029,2020,3,66,3,104
https://openalex.org/A5002710029,2021,2,63,2,86
https://openalex.org/A5002710029,2022,3,71,3,80
https://openalex.org/A5002710029,2023,3,75,3,118
https://openalex.org/A5002721232,2012,10,452,11,981
https://openalex.org/A5002721232,2013,22,477,22,967
https://openalex.org/A5002721232,2014,28,600,28,1199
https://openalex.org/A5002721232,2015,17,562,17,1169
https://openalex.org/A5002721232,2016,12,585,12,1216
https://openalex.org/A5002721232,2017,19,590,19,1211
https://openalex.org/A5002721232,2018,21,701,21,1464
https://openalex.org/A5002721232,2019,15,705,15,1478
https://openalex.org/A5002721232,2020,19,858,19,1869
https://openalex.org/A5002721232,2021,14,1071,14,2363
https://openalex.org/A5002721232,2022,6,997,6,2290
https://openalex.org/A5002721232,2023,9,949,9,2094
https://openalex.org/A5002742863,2012,18,167,19,206
https://openalex.org/A5002742863,2013,10,233,10,268
https://openalex.org/A5002742863,2014,14,327,14,393
https://openalex.org/A5002742863,2015,15,344,16,406
https://openalex.org/A5002742863,2016,14,301,14,348
https://openalex.org/A5002742863,2017,7,309,7,361
https://openalex.org/A5002742863,2018,15,451,15,526
https://openalex.org/A5002742863,2019,9,329,9,389
https://openalex.org/A5002742863,2020,5,438,5,512
https://openalex.org/A5002742863,2021,18,461,18,520
https://openalex.org/A5002742863,2022,7,423,7,492
https://openalex.org/A5002742863,2023,12,456,12,544
https://openalex.org/A5002768053,2012,5,7,5,7
